r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1053.332488,2000,17.482914,-0.23471509,-0.005386101,0.08372277,0.087961495,0.044147294,-0.2619812,0.17891458,-0.106212586,-0.1965748,0.11455877
-617.41029,4000,40.423035,-0.23934522,-0.0032737905,0.069370106,0.07648579,0.04435311,-0.26250526,0.17877412,-0.10554311,-0.20732743,0.11446384
-960.79233,6000,62.804048,-0.23893203,0.0004301992,0.06422868,0.08666205,0.045754917,-0.25761515,0.17678529,-0.10885733,-0.19983071,0.1203365
-1068.457792,8000,81.477432,-0.19230552,0.0075638383,0.058874447,0.14769869,0.05159224,-0.2570614,0.17838782,-0.13428755,-0.13957264,0.12799683
-1234.740349,10000,99.516873,-0.1428052,0.014799973,0.074437834,0.21978709,0.052603003,-0.26698288,0.18886204,-0.15322174,-0.059801936,0.15402459
-795.52284,12000,117.509111,-0.10948904,0.04058415,0.09376662,0.21925676,0.040192958,-0.22274636,0.1953012,-0.090558216,-0.049632248,0.19299135
-850.405216,14000,135.27166,-0.08481096,0.05277985,0.10356754,0.2169046,0.04947684,-0.24748522,0.21079612,-0.103166774,-0.06158774,0.19742164
-1118.774631,16000,152.985734,-0.073240235,0.06257914,0.10375024,0.23120558,0.051937286,-0.23345599,0.21971262,-0.11196292,-0.06911738,0.21230973
-583.003412,18000,171.966219,-0.07211592,0.06524463,0.10451733,0.23009406,0.058036096,-0.22020242,0.22956572,-0.10201389,-0.0654533,0.20379406
-552.383854,20000,192.001026,-0.078313485,0.0630099,0.103211805,0.22145504,0.06577317,-0.21392505,0.2406298,-0.09496107,-0.06299091,0.20034881
-530.99632,22000,212.125668,-0.08156912,0.05544625,0.10200487,0.2210878,0.06654051,-0.21425042,0.23776545,-0.088922955,-0.048809264,0.20392828
-1095.337783,24000,232.120502,-0.082868144,0.049634416,0.10053772,0.22201015,0.06656918,-0.20974934,0.23954998,-0.085616976,-0.043275457,0.20792115
-536.102845,26000,249.881747,-0.08375166,0.04527011,0.1015985,0.22110549,0.066834,-0.21119235,0.24040392,-0.090870164,-0.03795145,0.21488366
-590.056274,28000,268.827418,-0.08444003,0.042065736,0.103463694,0.22171266,0.065657645,-0.21047437,0.23938452,-0.09595434,-0.032414332,0.21805798
-576.165291,30000,286.988724,-0.08084619,0.040703665,0.10341115,0.22207588,0.06251029,-0.20807126,0.24778931,-0.099540085,-0.024920482,0.22309397
-1331.816545,32000,305.715683,-0.08018103,0.043101113,0.10400472,0.22367258,0.064794675,-0.20731191,0.25099385,-0.10176251,-0.026565835,0.2290159
-629.030193,34000,324.56448,-0.07746625,0.045425747,0.10436079,0.22549768,0.06686743,-0.20605558,0.25820366,-0.09666834,-0.031170692,0.23537977
-591.510624,36000,344.757896,-0.07453272,0.045853004,0.10484712,0.22662455,0.06861662,-0.20587629,0.26800704,-0.092347965,-0.039647836,0.24354333
-549.92991,38000,363.795484,-0.07289585,0.049070753,0.10404966,0.22874524,0.0701767,-0.20526059,0.28334713,-0.09012067,-0.049372073,0.24813898
-525.41064,40000,380.803958,-0.069322556,0.052191712,0.10081374,0.23431714,0.07287233,-0.20460036,0.28499773,-0.08669395,-0.064776905,0.25223765
-590.058101,42000,858.767638,-0.066450454,0.05862493,0.09771615,0.2407054,0.076604806,-0.207291,0.2808122,-0.082711495,-0.076285854,0.2508073
-671.545889,44000,1514.878682,-0.06323654,0.066172466,0.09436903,0.24492195,0.079125464,-0.21338372,0.27912706,-0.075448535,-0.09438408,0.24109769
-657.331436,46000,1590.039081,-0.061111826,0.06884433,0.09375566,0.24386065,0.0801052,-0.21022981,0.2815304,-0.06871394,-0.10882939,0.22878492
-755.870633,48000,1610.208507,-0.058467425,0.067987055,0.0943498,0.2452468,0.082423694,-0.20457402,0.29115662,-0.06523995,-0.116770245,0.2217964
-671.003222,50000,1627.448293,-0.055962596,0.06899652,0.09689818,0.24078454,0.08265911,-0.19991447,0.3097411,-0.06217446,-0.12677896,0.2221221
-1034.246348,52000,1645.995334,-0.051358372,0.07077006,0.09609836,0.24138187,0.08694506,-0.19018066,0.31440386,-0.05866832,-0.13604346,0.2209642
-526.858895,54000,1665.802702,-0.05112717,0.07362657,0.09130984,0.23331216,0.08746417,-0.19702813,0.30473286,-0.060507663,-0.12561756,0.22325097
-978.299431,56000,1684.403239,-0.05149721,0.07569807,0.071690194,0.23950088,0.092128284,-0.21292801,0.2867651,-0.06728029,-0.12708129,0.22818822
-800.963147,58000,1703.484884,-0.061282687,0.07029904,0.0632974,0.22947153,0.08474259,-0.22640884,0.2832972,-0.07958586,-0.06145591,0.2216475
-1390.591083,60000,1721.801256,-0.067959085,0.06345295,0.07368582,0.211807,0.08001446,-0.22767167,0.32616484,-0.089093,-0.042886678,0.21887405
-1049.543461,62000,1740.789806,-0.055780053,0.06803159,0.08357534,0.20396186,0.09087922,-0.22241096,0.28668168,-0.10201796,-0.02072748,0.24929942
-851.360901,64000,1760.256847,-0.055112336,0.056362502,0.06220687,0.1849091,0.09572315,-0.24160448,0.15191299,-0.19414327,0.10694076,0.26575208
